Unnamed: 0,SMILES,Molecule Name,LogD,LogS,Log_HLM_CLint,Log_MLM_CLint,Log_Caco_Papp_AB,Log_Caco_ER,Log_Mouse_PPB,Log_Mouse_BPB,Log_Mouse_MPB,LogD modifier,KSOL modifier,HLM CLint modifier,MLM CLint modifier,Caco-2 Permeability Papp A>B modifier,Caco-2 Permeability Efflux modifier,MPPB modifier,MBPB modifier,MGMB modifier,INCHIKEY,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB,KSOL,HLM CLint,MLM CLint
0.0,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,E-0001321,,,1.7589118923979734,2.2631624649622166,,,,,,,,=,=,,,,,,AELDWFGFDSTYDV-DEOSSOPVSA-N,,,,,,,,
1.0,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0001780,,,2.2079035303860515,3.13100881279064,,,,,,,,=,=,,,,,,NCCOQMRIPAPGNR-UHFFFAOYSA-N,,,,,,,,
2.0,Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,E-0001827,,,,2.2889196056617265,,,,,,,,,=,,,,,,ZNTBNESSWOHBPD-UHFFFAOYSA-N,,,,,,,,
3.0,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,E-0002019,,,1.021189299069938,1.591064607026499,,,,,,,,=,<,,,,,,UYUIMPIKINVAPS-UHFFFAOYSA-N,,,,,,,,
4.0,CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002036,,,0.9822712330395684,2.2121876044039577,,,,,0.0052663329727688,,,<,=,,,,,=,DTYIIQCGXIIFFU-UHFFFAOYSA-N,,,,,,,,
5.0,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002269,,,1.2988530764097066,1.81424759573192,,,,,,,,=,=,,,,,,XPTOQRSOKGUGAU-UHFFFAOYSA-N,,,,,,,,
6.0,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,E-0002284,,,1.2013971243204515,1.826722520168992,,,,,,,,=,=,,,,,,RUVRREXDWZZJNC-UHFFFAOYSA-N,,,,,,,,
7.0,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,E-0002290,,,1.2041199826559248,2.225309281725863,,,,,,,,=,=,,,,,,DFJYVDROFXMAHN-UHFFFAOYSA-N,,,,,,,,
8.0,CN(C)C[C@H](O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OC[C@@H](O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002337,,,0.9822712330395684,1.591064607026499,,,,,,,,<,<,,,,,,XPTOQRSOKGUGAU-PMACEKPBSA-N,,,,,,,,
9.0,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,E-0002377,,,2.3879234669734366,1.8959747323590648,,,,,,,,=,=,,,,,,BFSSJJONCKJJEC-UHFFFAOYSA-N,,,,,,,,
