,SMILES,Molecule Name,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB,Murcko Scaffold
0,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,E-0001321,,,1.7589118923979734,2.2631624649622166,,,,,,c1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(OCC7CCCN7)cc6)nc5c4)ccc3[nH]2)cc1
1,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0001780,,,2.2079035303860515,3.13100881279064,,,,,,c1ccc2c(c1)[nH]c1cc3ccncc3cc12
2,Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,E-0001827,,,,2.2889196056617265,,,,,,c1cc2cc3[nH]c4ccc(OCCCN5CCNCC5)cc4c3cc2cn1
3,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,E-0002019,,,1.021189299069938,,,,,,,O=C(Nc1ccc2[nH]c(-c3ccccc3)nc2c1)c1ccc2[nH]c(-c3ccccc3)nc2c1
4,CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002036,,,,2.2121876044039577,,,,,0.0052663329727688,c1ccc2[nH]c(-c3ccc(-c4nc5ccccc5[nH]4)cc3)nc2c1
5,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002269,,,1.2988530764097066,1.81424759573192,,,,,,c1ccc2[nH]c(-c3ccc(-c4nc5ccccc5[nH]4)cc3)nc2c1
6,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,E-0002284,,,1.2013971243204515,1.826722520168992,,,,,,O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1cccc(NC(=O)c2ncc[nH]2)c1
7,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,E-0002290,,,1.2041199826559248,2.225309281725863,,,,,,O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1cccc(-c2nc3ccccc3[nH]2)c1
8,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,E-0002377,,,2.3879234669734366,1.8959747323590648,,,,,,c1ccc2[nH]c(-c3ccc(-c4nc5ccccc5[nH]4)cc3)nc2c1
9,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,E-0003046,,,0.9912260756924948,,,,,,,c1cc(-c2nc3ccc(N4CCCCC4)cc3[nH]2)ccc1-c1nc2ccc(N3CCCCC3)cc2[nH]1
10,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,E-0003079,,,0.9242792860618816,2.5352941200427703,,,,,,c1ccc2[nH]c(-c3cccc4nc(-c5ccncc5)[nH]c34)nc2c1
11,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,E-0003089,,,1.1818435879447726,1.9232440186302764,,,,,,c1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1
12,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,E-0003090,,,1.2988530764097066,2.5276299008713385,,,,,,c1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1
13,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010021,,,1.0374264979406236,2.257678574869185,,,,,,O=C(NCc1ccccc1)Nc1ccc2nnsc2c1
14,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010022,,,1.2201080880400552,2.3998467127129226,,,,,,O=C(NCc1ccccc1)Nc1ccc2nnsc2c1
15,CC(NC(=O)Nc1ccc2nnsc2c1)c1cnn(C)c1,E-0010024,,,,1.568201724066995,,,,,,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1
16,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,E-0010025,,,1.0128372247051722,3.3107994838343924,,,,,,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1
17,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,E-0010059,,,1.0043213737826426,1.7466341989375789,,,,,,O=C(NCc1cccc(CNC(=O)C2CCNCC2)c1)Nc1ccc2nnsc2c1
18,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,E-0010060,,,1.7435097647284297,2.819083075743703,,,,,,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1
19,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncccc3c2)cc1,E-0010062,,,,1.606381365110605,,,,,,O=C(NCc1ccccc1)Nc1ccc2ncccc2c1
20,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncsc3c2)cc1,E-0010066,,,,1.8457180179666584,,,,,,O=C(NCc1ccccc1)Nc1ccc2ncsc2c1
